net,edgegpu_latency,edgegpu_energy,raspi4_latency,edgetpu_latency,pixel3_latency,eyeriss_latency,eyeriss_energy,eyeriss_arithmetic_intensity,fpga_latency,fpga_energy
"(4, 3, 3, 0, 0, 0)",5.866079330444336,24.471327606836955,10.432981719932286,0.9669485199992778,5.04007,3.648640000000001,0.6874206219999999,6.267465213714637,2.57296,18.01072
"(2, 2, 0, 4, 2, 0)",6.49538516998291,28.763730661074316,54.55359055995359,1.4470767620005063,23.4768,7.5808000000000035,1.5645618859999997,20.824541103340195,5.31536,37.20752
"(4, 2, 4, 2, 4, 4)",6.567897796630859,29.338799457550046,49.32873783996911,2.579378587000974,21.7894,10.52992,2.084818046,9.84428376395304,5.28656,37.005919999999996
"(4, 0, 1, 1, 1, 0)",2.413144111633301,10.313777933120727,2.8027632999874186,0.4342729089985369,1.47917,3.1571200000000004,0.624925166,4.55742819427801,1.54256,10.79792
"(0, 0, 0, 3, 0, 3)",4.554896354675293,19.4676270198822,7.687612360023195,0.7022771539996029,3.30452,2.1740800000000005,0.40959782200000006,12.591719650947281,2.16336,15.143519999999999
"(3, 0, 2, 3, 1, 4)",5.7759857177734375,27.65541961669922,29.150065400026506,1.067276502999448,11.6104,5.123200000000002,1.000632862,13.604352526269105,3.83056,26.813920000000003
"(2, 1, 4, 1, 2, 2)",4.99117374420166,23.511755784352623,54.53588012009277,-1.0,23.2635,7.5808000000000035,1.564561886,20.824541103340195,5.31536,37.20752
"(1, 0, 0, 4, 2, 2)",5.115914344787598,23.50762641429901,37.90020902000833,-1.0,16.6399,6.106240000000002,1.2513496459999998,18.62742113528769,4.05776,28.40432
"(3, 4, 0, 0, 1, 2)",4.7251176834106445,20.922821102142336,26.187815640005283,0.9799194349980098,10.7461,4.877440000000002,0.969385134,14.030603127859104,3.31536,23.207520000000002
"(4, 1, 0, 1, 1, 2)",2.777066230773926,12.351002061367035,18.745920860092156,-1.0,8.20457,4.631680000000001,0.9381374060000001,14.570265257861092,2.80016,19.60112
"(2, 2, 1, 2, 1, 1)",0.5459213256835938,2.186414909362793,0.015728520083939657,-1.0,0.00926928,6.106240000000002,1.2867390859999999,27.017807151310997,4.90576,34.34032
"(2, 2, 1, 4, 2, 4)",7.259206771850586,33.26168542861939,58.63278935998096,1.598750557997846,25.067700000000002,9.055360000000002,1.842384686,16.941139847198965,5.72496,40.07472
"(1, 1, 1, 1, 2, 4)",0.7283735275268555,2.973220739364624,0.570611460134387,-1.0,0.427371,4.631680000000001,0.9381374060000001,14.570265257861092,2.80016,19.60112
"(1, 4, 2, 0, 3, 3)",6.03642463684082,26.80776181221008,25.3972884399991,-1.0,11.4605,5.123200000000002,1.000632862,13.604352526269105,3.83056,26.813920000000003
"(2, 1, 2, 3, 1, 1)",1.8202972412109375,7.920113296508789,37.64313741994556,-1.0,15.5893,4.877440000000002,1.004774574,24.570401846980786,4.16336,29.14352
"(0, 4, 0, 0, 1, 4)",4.018235206604004,17.33064844608307,8.34997925994685,1.0983326079986,4.96237,4.631680000000001,0.902747966,2.6283163981513478,1.95216,13.66512
"(0, 0, 0, 2, 1, 2)",3.581366539001465,18.273922765254973,35.509970739949495,0.8028064979989722,14.959299999999999,4.631680000000001,0.9735268460000002,26.512214117570835,3.64816,25.537119999999998
"(4, 0, 3, 3, 0, 3)",5.617179870605469,24.226896781921386,12.72716922001564,1.042842599999858,5.75641,3.894400000000001,0.71866835,6.772785997255665,3.08816,21.61712
"(4, 4, 2, 2, 0, 3)",6.2235307693481445,28.27972381591797,44.51670226000715,1.5251868840023235,19.266599999999997,7.826560000000004,1.5604201739999999,14.062898875240007,4.98256,34.87792
"(2, 2, 4, 3, 4, 1)",4.049181938171387,18.087695717811584,25.553375119925477,1.1558308159983426,11.5374,7.826560000000004,1.5604201739999999,14.062898875240007,4.98256,34.87792
"(1, 4, 0, 4, 2, 2)",5.436391830444336,24.143016119003295,41.33779191994108,-1.0,18.2385,7.5808000000000035,1.529172446,14.357475235076722,4.46736,31.271520000000002
"(3, 1, 3, 1, 2, 1)",4.274487495422363,19.01078313589096,24.283927840006072,0.6982367600030557,9.820870000000001,3.6486400000000003,0.722810062,20.43720691113161,3.42096,23.94672
"(4, 4, 2, 1, 4, 3)",5.479702949523926,24.686061787605286,27.644091240072157,-1.0,14.0572,7.826560000000004,1.525030734,8.03043247621749,4.13456,28.941919999999996
"(0, 4, 2, 2, 2, 4)",6.553092002868652,29.860255893071493,59.58063274010783,1.714071223999781,25.1248,9.055360000000002,1.842384686,16.941139847198965,5.72496,40.07472
"(0, 0, 1, 3, 0, 4)",4.890179634094238,21.153287037213648,12.046174579882063,0.8261036500007322,4.11909,3.4028800000000006,0.656172894,5.572710640822785,2.05776,14.40432
"(0, 1, 1, 0, 1, 0)",3.389859199523926,14.749277377128601,2.877506499935407,0.3575409969998873,1.48344,1.68256,0.347102366,17.1314136402027,1.13296,7.93072
"(3, 3, 3, 3, 4, 0)",7.571711540222168,32.65679187297821,19.6098920199438,1.2105750320006337,6.63672,4.140160000000002,0.749916078,7.1568549879245875,3.60336,25.22352
"(4, 0, 3, 3, 3, 1)",3.798236846923828,16.381795520782468,14.661220220004907,-1.0,4.74639,3.894400000000001,0.71866835,6.772785997255665,3.08816,21.61712
"(3, 4, 0, 0, 4, 0)",5.3411865234375,23.036537475585938,14.42514280002797,1.3396776819972729,5.86161,4.877440000000002,0.933995694,3.49080440873742,2.46736,17.271520000000002
"(2, 4, 4, 1, 4, 1)",3.9289474487304688,17.69990825653076,26.05390463999356,1.1725094969988277,11.5504,7.5808000000000035,1.4937830060000001,7.890409366813248,3.61936,25.33552
