net,net_str,epe_nas,fisher,flops,grad_norm,grasp,jacov,l2_norm,nwot,params,plain,snip,synflow,zen
"(4, 0, 3, 1, 4, 3)",|avg_pool_3x3~0|+|skip_connect~0|none~1|+|nor_conv_1x1~0|avg_pool_3x3~1|nor_conv_1x1~2|,1283.2991078420093,0.036440409719944,19.248832,10.883214950561523,0.2447352409362793,-88.28987084337544,130.2005157470703,754.6843327648469,0.129306,0.03387480974197388,22.92317771911621,44.48481149764257,63.38789367675781
"(2, 4, 0, 0, 3, 2)",|nor_conv_3x3~0|+|avg_pool_3x3~0|skip_connect~1|+|skip_connect~0|nor_conv_1x1~1|nor_conv_3x3~2|,1712.8606142675053,0.02338297851383686,85.235392,12.691692352294922,2.205326557159424,-65.19330998681718,180.48739624023438,785.6229613560918,0.587386,0.07953903824090958,26.610858917236328,85.29524686388314,119.49333190917969
"(0, 0, 2, 1, 2, 3)",|skip_connect~0|+|skip_connect~0|none~1|+|nor_conv_3x3~0|nor_conv_3x3~1|nor_conv_1x1~2|,1892.5586892525748,0.09116727113723755,83.945152,24.872453689575195,12.207822799682617,-65.28530549355202,180.93431091308594,788.9173976717508,0.587386,0.07750227302312851,51.88956069946289,60.21215631143575,92.66996765136719
"(4, 1, 3, 3, 3, 3)",|avg_pool_3x3~0|+|none~0|nor_conv_1x1~1|+|nor_conv_1x1~0|nor_conv_1x1~1|nor_conv_1x1~2|,1379.89745040241,0.1613217145204544,26.683072,41.271331787109375,23.266204833984375,-78.71433303714447,231.91815185546875,803.9103852979313,0.185306,0.1590510755777359,68.32852172851562,55.762510616244505,66.95525360107422
"(3, 1, 2, 3, 2, 3)",|nor_conv_1x1~0|+|none~0|nor_conv_1x1~1|+|nor_conv_3x3~0|nor_conv_3x3~1|nor_conv_1x1~2|,1591.6683179803877,2.9198594093322754,92.669632,194.82936096191406,352.8389892578125,-65.19380110251575,283.02349853515625,820.6268521754345,0.643386,0.14671286940574646,300.7577819824219,76.73583022144935,103.12029266357422
"(3, 0, 1, 0, 3, 3)",|nor_conv_1x1~0|+|skip_connect~0|skip_connect~1|+|none~0|nor_conv_1x1~1|nor_conv_1x1~2|,1569.4626072913786,0.7568210959434509,21.030592,76.18067932128906,41.82188415527344,-65.16970990531648,180.67884826660156,788.8671682218322,0.157306,0.037230368703603745,118.37274169921875,60.55435810174346,53.628456115722656
"(2, 0, 4, 2, 1, 0)",|nor_conv_3x3~0|+|skip_connect~0|nor_conv_3x3~1|+|avg_pool_3x3~0|none~1|skip_connect~2|,1010.6997674092125,0.0059870281256735325,80.873152,4.740635395050049,0.2549699544906616,-159.4459455532422,129.74256896972656,749.2247668315188,0.559386,0.2028653621673584,6.890882968902588,79.8562337431612,146.04049682617188
"(3, 4, 1, 4, 0, 0)",|nor_conv_1x1~0|+|avg_pool_3x3~0|avg_pool_3x3~1|+|none~0|skip_connect~1|skip_connect~2|,1343.219095055381,0.025741226971149445,14.886592,12.248308181762695,4.573790550231934,-77.27524334185847,78.75251770019531,720.1122926916443,0.101306,0.17483344674110413,17.00823211669922,44.370997002849485,47.176918029785156
"(4, 2, 4, 0, 2, 4)",|avg_pool_3x3~0|+|nor_conv_3x3~0|skip_connect~1|+|avg_pool_3x3~0|nor_conv_3x3~1|avg_pool_3x3~2|,760.4854633995253,0.007980173453688622,83.453632,3.7687854766845703,-0.005148530006408691,-302.52339425407797,129.9528350830078,742.4495540325421,0.559386,0.21216711401939392,8.054962158203125,59.42961412087291,218.2964324951172
"(4, 0, 0, 4, 1, 3)",|avg_pool_3x3~0|+|skip_connect~0|avg_pool_3x3~1|+|skip_connect~0|none~1|nor_conv_1x1~2|,1439.984081674301,0.014176684431731701,14.886592,6.751049518585205,1.6757030487060547,-68.38220643258114,78.62447357177734,719.0550598237212,0.101306,0.0520188994705677,12.947476387023926,44.316301092247926,53.293853759765625
