,net,embeddings_0,embeddings_1,embeddings_2,embeddings_3,embeddings_4,embeddings_5,embeddings_6,embeddings_7,embeddings_8,embeddings_9,embeddings_10,embeddings_11,embeddings_12,embeddings_13,embeddings_14,embeddings_15
0,"(4, 0, 3, 1, 4, 3)",-0.5074101686477661,-0.5223944187164307,-0.24797701835632324,0.1854526698589325,-0.37782931327819824,-0.2495964765548706,0.08934852480888367,-0.25883960723876953,0.29746246337890625,0.3246930241584778,0.15050064027309418,0.21825718879699707,0.20342470705509186,-0.4618716537952423,0.13309286534786224,0.3715762197971344
1,"(2, 4, 0, 0, 3, 2)",-0.2843821346759796,-0.3638913035392761,-0.08297380059957504,0.4852670431137085,-0.15104059875011444,0.0472027026116848,0.2262110561132431,-0.3208407163619995,0.33012625575065613,0.043406128883361816,0.1828644722700119,0.35200145840644836,0.2738819122314453,-0.45828914642333984,0.5080345869064331,0.26966214179992676
3,"(0, 0, 2, 1, 2, 3)",-0.06885725259780884,-0.17960500717163086,-0.2231590449810028,0.4353766441345215,-0.22496116161346436,-0.10220406204462051,0.10944017022848129,-0.5188206434249878,0.27754464745521545,0.24503594636917114,-0.02080165594816208,0.325161874294281,0.32999953627586365,-0.43062907457351685,0.5381683111190796,0.2725915312767029
7,"(4, 1, 3, 3, 3, 3)",-0.3515719175338745,-0.4674379527568817,-0.22960707545280457,0.26970452070236206,-0.5541951656341553,-0.011808745563030243,0.1440333127975464,-0.28027522563934326,0.20402619242668152,0.5249857306480408,0.2973918318748474,0.013793326914310455,0.3549959659576416,-0.3042057752609253,-0.01678311824798584,0.5339019298553467
8,"(3, 1, 2, 3, 2, 3)",-0.10905864089727402,-0.30753692984580994,-0.13909369707107544,0.4607251286506653,-0.3673957586288452,0.23375612497329712,0.2993859052658081,-0.5690376162528992,0.23053613305091858,0.3730612099170685,0.3231589198112488,0.08620789647102356,0.4162653088569641,-0.19421619176864624,0.2224588841199875,0.5475066304206848
9,"(3, 0, 1, 0, 3, 3)",-0.22453689575195312,-0.28721383213996887,-0.24097813665866852,0.44228553771972656,-0.3367505371570587,-0.19227144122123718,0.10712479054927826,-0.177533358335495,0.17064817249774933,0.5084810853004456,0.13075509667396545,0.010607048869132996,0.5192489624023438,-0.5546199083328247,0.2869283854961395,0.4445522427558899
10,"(2, 0, 4, 2, 1, 0)",-0.23106855154037476,-0.24625234305858612,-0.23542508482933044,0.40855634212493896,-0.12201229482889175,-0.14232449233531952,0.12294262647628784,-0.4125185012817383,0.354175329208374,0.06914788484573364,-0.0034503042697906494,0.42921704053878784,0.16183829307556152,-0.4612044095993042,0.5846692323684692,0.11620598286390305
11,"(3, 4, 1, 4, 0, 0)",-0.4689658284187317,-0.4373205304145813,-0.3087737262248993,0.23117569088935852,-0.2386145144701004,-0.27109459042549133,0.024093657732009888,-0.1388973593711853,0.26848655939102173,0.2070101797580719,0.11056600511074066,0.2508540749549866,0.21583962440490723,-0.5616874694824219,0.3187088668346405,0.25332170724868774
12,"(4, 2, 4, 0, 2, 4)",-0.47868263721466064,-0.49899929761886597,-0.07286673784255981,0.2679595351219177,-0.19332744181156158,0.07287503778934479,0.12697605788707733,-0.3314424753189087,0.42385607957839966,-0.0439910888671875,0.11176446080207825,0.5684739351272583,-0.01656707376241684,-0.3534407913684845,0.42396825551986694,0.19160142540931702
13,"(4, 0, 0, 4, 1, 3)",-0.5064372420310974,-0.5065616965293884,-0.24442586302757263,0.1530933380126953,-0.23010867834091187,-0.3518044352531433,0.029942750930786133,-0.19406460225582123,0.34555861353874207,0.21175174415111542,0.17690181732177734,0.27804863452911377,0.11991137266159058,-0.59928959608078,0.29568350315093994,0.3003626763820648
